,Date,Active Power (kw),Wind Speed (miles/hr),Tempreature,Dp,Humidity,Pressure
0,01-01-2018 00:20,380.0645243,12.07913275,43,41,93,29.75
1,01-01-2018 00:50,400.8961995,12.55793299,43,39,87,29.75
2,01-01-2018 01:20,432.8330383,12.4401354,45,39,81,29.75
3,01-01-2018 01:50,488.2412109,12.81136017,45,39,81,29.75
4,01-01-2018 02:20,706.8480225,14.35559449,45,41,87,29.75
5,01-01-2018 02:50,760.4627279,14.51004701,48,43,87,30.05
6,01-01-2018 03:20,748.9193726,14.22144898,48,43,87,30.05
7,01-01-2018 03:50,1069.804789,16.25218408,45,41,87,29.75
8,01-01-2018 04:20,1618.41036,18.31026434,45,41,87,29.75
9,01-01-2018 04:50,1168.626017,16.35670963,45,41,87,29.75
10,01-01-2018 05:20,1134.510986,15.88339769,45,41,87,29.75
11,01-01-2018 05:50,1164.687337,16.49341725,45,39,81,29.72
12,01-01-2018 06:20,1130.847697,16.18662349,43,39,87,29.75
13,01-01-2018 06:50,1069.301086,15.95225887,41,37,87,29.72
14,01-01-2018 07:20,978.4399414,15.78746584,39,37,93,29.72
15,01-01-2018 07:50,878.045695,14.65613907,41,37,87,29.72
16,01-01-2018 08:20,531.4756978,12.73946719,41,39,93,29.72
17,01-01-2018 08:50,697.830485,14.03664014,43,39,87,29.72
18,01-01-2018 09:20,587.7674459,12.77343308,45,39,81,29.75
19,01-01-2018 09:50,755.2493693,14.00261167,45,37,76,29.75
20,01-01-2018 10:20,707.6755981,14.05,46,39,76,29.75
21,01-01-2018 10:50,335.5754954,11.27850992,46,39,76,29.75
22,01-01-2018 11:20,175.9052989,9.47888559,50,39,66,29.72
23,01-01-2018 11:50,192.4595642,9.758881931,50,37,62,29.72
24,01-01-2018 12:20,117.5723877,8.697006569,50,37,62,29.72
25,01-01-2018 12:50,137.0792478,8.740922048,50,37,62,29.7
26,01-01-2018 13:20,365.0746053,11.47093219,52,37,58,29.7
27,01-01-2018 13:50,704.2529907,14.33642384,52,37,58,29.7
28,01-01-2018 14:20,1060.220378,16.10031892,52,39,62,29.7
29,01-01-2018 14:50,1598.180013,18.86494045,52,37,58,29.67
30,01-01-2018 15:20,1766.510295,19.22345424,52,37,58,29.7
31,01-01-2018 15:50,2549.062337,22.80406876,52,37,58,29.7
32,01-01-2018 16:20,2580.615723,22.74562881,52,36,54,29.67
33,01-01-2018 16:50,2356.189616,21.63733613,50,36,58,29.67
34,01-01-2018 17:20,1950.284953,19.79767007,48,39,71,29.67
35,01-01-2018 17:50,1867.447998,19.33881239,48,37,66,29.67
36,01-01-2018 18:20,2238.555664,22.0615026,48,39,71,29.67
37,01-01-2018 18:50,2672.180013,23.54433806,46,37,71,29.67
38,01-01-2018 19:20,2869.275391,24.92032515,45,37,76,29.67
39,01-01-2018 19:50,3199.864339,25.66640276,45,39,81,29.64
40,01-01-2018 20:20,3230.460693,25.68073506,45,37,76,29.64
41,01-01-2018 20:50,3181.371989,25.67611146,45,37,76,29.64
42,01-01-2018 21:20,3603.321289,29.35542297,45,37,76,29.64
43,01-01-2018 21:50,3587.805664,29.45372174,45,37,76,29.64
44,01-01-2018 22:20,3481.083984,28.80673932,45,37,76,29.61
45,01-01-2018 22:50,3549.062663,28.3037932,45,37,76,29.61
46,01-01-2018 23:20,3536.236328,28.06449957,45,36,71,29.61
47,01-01-2018 23:50,3373.228678,29.18817484,45,36,71,29.61
48,01-02-2018 00:20,999.574707,16.06411945,43,37,81,29.61
49,01-02-2018 00:50,1257.54128,17.22294177,45,36,71,29.61
50,01-02-2018 01:20,1825.71696,20.06078995,45,36,71,29.61
51,01-02-2018 01:50,2610.048665,23.39309405,43,36,76,29.58
52,01-02-2018 02:20,3298.51359,26.35848267,43,36,76,29.58
53,01-02-2018 02:50,3541.535645,28.25535562,48,43,87,30.05
54,01-02-2018 03:20,3601.740723,30.62206004,48,43,87,30.05
55,01-02-2018 03:50,3603.398682,31.3626671,41,36,81,29.58
56,01-02-2018 04:20,3603.640625,31.85122902,41,36,81,29.58
57,01-02-2018 04:50,3603.445638,34.07435299,43,36,76,29.58
58,01-02-2018 05:20,3603.496012,35.38047979,41,36,81,29.55
59,01-02-2018 05:50,3603.479655,35.97708046,41,36,81,29.55
60,01-02-2018 06:20,3603.193278,36.33459374,43,36,76,29.52
61,01-02-2018 06:50,3603.17806,35.93494897,43,34,70,29.52
62,01-02-2018 07:20,3603.09432,36.07884515,43,36,76,29.52
63,01-02-2018 07:50,3595.582275,33.00276891,45,36,71,29.52
64,01-02-2018 08:20,3440.491048,30.11941256,43,34,70,29.52
65,01-02-2018 08:50,3597.647054,31.31718203,43,37,81,29.52
66,01-02-2018 09:20,3544.576579,30.55081451,45,37,76,29.52
67,01-02-2018 09:50,3455.384359,28.48561113,46,37,71,29.52
68,01-02-2018 10:20,3547.046061,30.75631364,50,39,66,29.52
69,01-02-2018 10:50,3578.573975,30.60141385,52,37,58,29.52
70,01-02-2018 11:20,3407.478678,27.12150373,54,37,54,29.49
71,01-02-2018 11:50,3484.965983,29.28582436,55,39,54,29.49
72,01-02-2018 12:20,3595.248291,32.87802206,55,39,54,29.49
73,01-02-2018 12:50,3588.052653,31.03316566,55,37,51,29.49
74,01-02-2018 13:20,3509.602295,28.64747691,55,39,54,29.46
75,01-02-2018 13:50,3440.629964,26.9852882,59,39,48,29.46
76,01-02-2018 14:20,3372.069987,26.77267519,59,37,45,29.43
77,01-02-2018 14:50,3412.394287,26.52983243,59,39,48,29.46
78,01-02-2018 15:20,3595.686361,31.08808992,57,41,55,29.46
79,01-02-2018 15:50,3599.974365,33.90558309,57,43,59,29.46
80,01-02-2018 16:20,3602.666992,34.16565662,57,43,59,29.46
81,01-02-2018 16:50,3602.746989,35.25814926,57,43,59,29.46
82,01-02-2018 17:20,3602.355306,39.98555709,55,43,63,29.46
83,01-02-2018 17:50,3602.301351,40.3543527,54,43,67,29.46
84,01-02-2018 18:20,3602.261393,39.76739602,55,43,63,29.46
85,01-02-2018 18:50,3602.436768,42.66400026,54,41,62,29.46
86,01-02-2018 19:20,3602.804606,40.39127752,52,41,67,29.46
87,01-02-2018 19:50,3602.69401,35.59433866,54,39,58,29.46
88,01-02-2018 20:20,3567.245361,38.8444185,54,39,58,29.46
89,01-02-2018 20:50,3602.71167,41.58337948,52,41,67,29.46
90,01-02-2018 21:20,3603.021322,42.35977713,52,41,67,29.46
91,01-02-2018 21:50,3602.892415,44.43052643,50,41,71,29.46
92,01-02-2018 22:20,3602.609701,46.52228173,52,43,71,29.46
93,01-02-2018 22:50,3602.399658,48.50811808,50,43,76,29.46
94,01-02-2018 23:20,3601.942627,44.39572785,52,41,67,29.46
95,01-02-2018 23:50,3602.516683,42.86427419,52,41,67,29.46
96,01-03-2018 00:20,0,9.716904922,50,39,66,29.46
97,01-03-2018 00:50,0,11.82117121,50,41,71,29.46
98,01-03-2018 01:20,0,13.32297324,52,41,67,29.46
99,01-03-2018 01:50,0,13.751977,50,41,71,29.46
100,01-03-2018 02:20,0,13.55427762,48,41,76,29.46
101,01-03-2018 02:50,0,10.13437759,48,43,87,30.05
102,01-03-2018 03:20,0,8.75483462,48,43,87,30.05
103,01-03-2018 03:50,0,8.357353219,48,41,76,29.43
