Date,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh)
01-01-2018 0.00,380.0477905,5.31133604,416.3289078
01-01-2018 0.10,453.7691956,5.672166824,519.9175111
01-01-2018 0.20,306.3765869,5.216036797,390.9000158
01-01-2018 0.30,419.6459045,5.659674168,516.127569
01-01-2018 0.40,380.6506958,5.577940941,491.702972
01-01-2018 0.50,402.3919983,5.604052067,499.436385
01-01-2018 1.00,447.6057129,5.793007851,557.3723633
01-01-2018 1.10,387.2421875,5.306049824,414.8981788
01-01-2018 1.20,463.6512146,5.584629059,493.6776521
01-01-2018 1.30,439.725708,5.523228168,475.7067828
01-01-2018 1.40,498.1817017,5.724115849,535.841397
01-01-2018 1.50,526.8162231,5.934198856,603.0140765
01-01-2018 2.00,710.5872803,6.547413826,824.6625136
01-01-2018 2.10,655.1942749,6.199746132,693.4726411
01-01-2018 2.20,754.7625122,6.505383015,808.0981385
01-01-2018 2.30,790.1732788,6.634116173,859.4590208
01-01-2018 2.40,742.9852905,6.378912926,759.4345366
01-01-2018 2.50,748.2296143,6.446652889,785.2810099
01-01-2018 3.00,736.6478271,6.415082932,773.1728635
01-01-2018 3.10,787.2462158,6.437530994,781.7712157
01-01-2018 3.20,722.8640747,6.220024109,700.7646999
01-01-2018 3.30,935.0333862,6.89802599,970.7366269
01-01-2018 3.40,1220.609009,7.60971117,1315.048928
01-01-2018 3.50,1053.771973,7.288355827,1151.265744
01-01-2018 4.00,1493.807983,7.943101883,1497.583724
01-01-2018 4.10,1724.488037,8.376161575,1752.199662
01-01-2018 4.20,1636.935059,8.23695755,1668.470707
01-01-2018 4.30,1385.488037,7.879590988,1461.815791
01-01-2018 4.40,1098.932007,7.101376057,1062.285034
01-01-2018 4.50,1021.458008,6.955307007,995.9958546
01-01-2018 5.00,1164.892944,7.098298073,1060.859712
01-01-2018 5.10,1073.332031,6.953630924,995.2509608
01-01-2018 5.20,1165.307983,7.249577999,1132.416861
01-01-2018 5.30,1177.98999,7.294691086,1154.365305
01-01-2018 5.40,1170.536011,7.376369953,1194.843099
01-01-2018 5.50,1145.536011,7.448554039,1231.430706
01-01-2018 6.00,1114.026978,7.23925209,1127.433206
01-01-2018 6.10,1153.185059,7.329211235,1171.355044
01-01-2018 6.20,1125.331055,7.139705181,1080.139085
01-01-2018 6.30,1228.732056,7.474228859,1244.633534
01-01-2018 6.40,1021.79303,7.033174038,1030.992686
