DateTime4,LV ActivePower (kW),Theoretical_Power_Curve (KWh),Wind Speed (m/s),Temperature,DewPoint,Humidity,Pressure
01-01-2018 0.20,380.0645243,442.3821449,5.399846554,43,41,93,29.75
01-01-2018 0.50,400.8961995,502.4223087,5.613889059,43,39,87,29.75
01-01-2018 1.20,432.8330383,488.6493981,5.561228911,45,39,81,29.75
01-01-2018 1.50,488.2412109,538.1874188,5.727180958,45,39,81,29.75
01-01-2018 2.20,706.8480225,775.4110977,6.417514324,45,41,87,29.75
01-01-2018 2.50,760.4627279,801.3915224,6.486560663,50,43,88,29.64
01-01-2018 3.20,748.9193725,751.9029264,6.357546012,50,43,88,29.64
01-01-2018 3.50,1069.804789,1145.683766,7.265364329,45,41,87,29.75
01-01-2018 4.20,1618.41036,1639.418031,8.185407003,45,41,87,29.75
01-01-2018 4.50,1168.626017,1173.36556,7.312091351,45,41,87,29.75
01-01-2018 5.20,1134.510986,1062.842511,7.100502332,45,41,87,29.75
01-01-2018 5.50,1164.687337,1193.54637,7.373205026,45,39,81,29.72
01-01-2018 6.20,1130.847697,1126.309112,7.236056169,43,39,87,29.75
01-01-2018 6.20,1130.847697,1126.309112,7.236056169,43,39,87,29.72
01-01-2018 6.50,1069.301087,1080.436518,7.131285985,41,37,87,29.72
01-01-2018 7.20,978.4399411,1043.307078,7.057617029,39,37,93,29.72
01-01-2018 7.50,878.0456951,831.8351805,6.551869551,41,37,87,29.72
01-01-2018 8.20,531.4756978,528.3501133,5.695041975,41,39,93,29.72
01-01-2018 8.50,697.830485,721.2931173,6.274929206,43,39,87,29.72
01-01-2018 9.20,587.7674459,544.4159337,5.710226059,45,39,81,29.75
01-01-2018 9.50,755.2493693,716.2986866,6.259717146,45,37,76,29.75
01-01-2018 10.20,707.6755982,727.1700261,6.280901591,46,39,76,29.75
01-01-2018 10.50,335.5754954,352.5022791,5.041936715,46,39,76,29.75
01-01-2018 11.20,175.9052989,171.9258882,4.23743399,50,39,66,29.72
01-01-2018 11.50,192.4595642,194.8897603,4.362603346,50,37,62,29.72
01-01-2018 12.20,117.5723877,110.8324883,3.887903372,50,37,62,29.72
01-01-2018 12.50,137.0792478,127.4258595,3.907535315,50,37,62,29.7
01-01-2018 13.20,365.0746053,369.2093425,5.127957026,52,37,58,29.7
01-01-2018 13.50,704.2529907,776.4219617,6.408944289,52,37,58,29.7
01-01-2018 14.20,1060.220378,1158.81338,7.197474638,52,39,62,29.7
01-01-2018 14.50,1598.180013,1787.652442,8.433369001,52,37,58,29.67
01-01-2018 15.20,1766.510295,1887.72843,8.593638738,52,37,58,29.7
01-01-2018 15.50,2549.062337,2877.203543,10.194314,52,37,58,29.7
01-01-2018 16.20,2580.615723,2875.341908,10.16818905,52,36,54,29.67
01-01-2018 16.50,2356.189616,2570.1448,9.672738711,50,36,58,29.67
01-01-2018 17.20,1950.284953,2048.761046,8.850335757,48,39,71,29.67
