LV ActivePower (kW),Wind Speed (miles/h),Temperature,Humidity,Pressure,Wind Speed (m/s)
380.0645243,12.07913275,43,93,29.75,5.399846554
400.8961995,12.55793299,43,87,29.75,5.613889059
432.8330383,12.4401354,45,81,29.75,5.561228911
488.2412109,12.81136017,45,81,29.75,5.727180958
706.8480225,14.35559449,45,87,29.75,6.417514324
760.4627279,14.51004701,50,88,29.64,6.486560663
748.9193725,14.22144898,50,88,29.64,6.357546012
1069.804789,16.25218408,45,87,29.75,7.265364329
1618.41036,18.31026434,45,87,29.75,8.185407003
1168.626017,16.35670963,45,87,29.75,7.312091351
1134.510986,15.88339769,45,87,29.75,7.100502332
1164.687337,16.49341725,45,81,29.72,7.373205026
1130.847697,16.18662349,43,87,29.75,7.236056169
1130.847697,16.18662349,43,87,29.72,7.236056169
1069.301087,15.95225887,41,87,29.72,7.131285985
978.4399411,15.78746584,39,93,29.72,7.057617029
878.0456951,14.65613907,41,87,29.72,6.551869551
531.4756978,12.7394672,41,93,29.72,5.695041975
697.830485,14.03664014,43,87,29.72,6.274929206
587.7674459,12.77343308,45,81,29.75,5.710226059
755.2493693,14.00261167,45,76,29.75,6.259717146
707.6755982,14.05,46,76,29.75,6.280901591
335.5754954,11.27850992,46,76,29.75,5.041936715
175.9052989,9.47888559,50,66,29.72,4.23743399
192.4595642,9.758881929,50,62,29.72,4.362603346
117.5723877,8.697006569,50,62,29.72,3.887903372
137.0792478,8.740922048,50,62,29.7,3.907535315
365.0746053,11.47093219,52,58,29.7,5.127957026
704.2529907,14.33642384,52,58,29.7,6.408944289
1060.220378,16.10031892,52,62,29.7,7.197474638
1598.180013,18.86494045,52,58,29.67,8.433369001
1766.510295,19.22345424,52,58,29.7,8.593638738
2549.062337,22.80406876,52,58,29.7,10.194314
2580.615723,22.74562881,52,54,29.67,10.16818905
2356.189616,21.63733613,50,58,29.67,9.672738711
1950.284953,19.79767007,48,71,29.67,8.850335757
1867.447998,19.33881239,48,66,29.67,8.645208359
2238.555664,22.06150261,48,71,29.67,9.862357777
2672.180013,23.54433806,46,71,29.67,10.52524344
2869.27539,24.92032515,45,76,29.67,11.14036369
3199.864339,25.66640276,45,81,29.64,11.47388967
3230.460693,25.68073506,45,76,29.64,11.48029677
3181.371989,25.67611146,45,76,29.64,11.47822984
3603.321289,29.35542297,45,76,29.64,13.12302653
3587.805664,29.45372174,45,76,29.64,13.16696994
3481.083984,28.80673934,45,76,29.61,12.87774341
3549.062663,28.30379318,45,76,29.61,12.65290673
3536.236328,28.06449957,45,71,29.61,12.54593309
3373.228678,29.18817484,45,71,29.61,13.04826005
3384.384684,27.65893557,41,65,29.87,12.36463006
3505.993408,28.29243686,39,70,29.87,12.64783001
3505.976074,27.47151769,39,70,29.84,12.28084691
3564.3514,29.38310197,39,70,29.84,13.13540013
3563.732666,31.74611503,39,70,29.84,14.19175974
3436.255696,30.77799805,50,88,29.64,13.75897344
3425.948568,29.64087152,50,88,29.64,13.25063324
3499.97762,28.40584232,39,75,29.84,12.6985267
3517.710368,29.02329044,37,81,29.81,12.97455025
3525.717936,28.61501072,41,76,29.81,12.79203319
3470.686605,27.5957049,41,76,29.78,12.33636347
3423.822022,27.44259425,41,76,29.78,12.267917
3423.822022,27.44259425,41,70,29.78,12.267917
3408.034668,27.32343881,41,76,29.78,12.21464984
3408.034668,27.32343881,39,75,29.78,12.21464984
3262.145996,26.00924453,45,61,29.78,11.6271534
2906.250732,24.12110819,45,61,29.78,10.78308233
3467.978678,27.7123018,46,57,29.78,12.38848686
3430.041667,26.43274894,45,61,29.78,11.8164765
3383.339925,26.08054976,46,62,29.78,11.65902964
3206.299724,25.23471139,50,62,29.78,11.28090668
3392.417643,29.09787742,50,62,29.78,13.00789356
3600.57666,35.44931751,52,54,29.78,15.84723663
3597.795654,32.96438282,54,51,29.78,14.73637327
3590.850016,33.09984457,55,47,29.78,14.79692999
3561.388021,30.35456685,57,44,29.78,13.56968307
3519.911051,28.51694379,59,42,29.78,12.74819342
2446.303385,21.43764744,57,48,29.75,9.583470028
2439.267334,22.75732007,57,48,29.75,10.1734155
3179.013346,24.91209981,57,51,29.75,11.13668664
3297.830648,25.76321103,57,55,29.75,11.51716677
3534.897298,28.00760698,59,55,29.75,12.52049987
3226.610596,25.5414255,59,55,29.75,11.41801993
3462.53833,27.1926824,59,51,29.72,12.15619659
3508.81429,28.94651821,59,51,29.72,12.94023005
3591.034017,29.24530566,57,59,29.72,13.07379977
3568.661621,28.47199561,55,63,29.72,12.72809982
3470.74235,27.1747946,55,63,29.72,12.14820004
3502.33138,27.74168747,55,63,29.75,12.40162341
3236.008952,26.04736894,54,67,29.75,11.64419651
2820.64209,24.45513013,52,76,29.75,10.93240325
2621.903971,23.15033806,54,67,29.75,10.34910997
2931.943278,24.77244608,54,72,29.75,11.07425594
3527.44637,28.02461515,52,71,29.75,12.52810319
3233.290609,26.46086032,52,71,29.75,11.82904339
1949.954305,20.80551788,50,71,29.75,9.300883294
1993.992676,21.07385797,48,76,29.75,9.420841853
1589.945964,18.95420464,48,76,29.75,8.473273595
1469.765991,18.69598924,54,67,29.75,8.357841174
2008.557699,20.45317753,54,62,29.75,9.143373329
2880.461426,23.73654382,30,80,29.78,10.61116696
2840.056315,23.35761992,30,80,29.78,10.4417731
976.8336996,15.76470908,30,80,29.78,7.047443867
186.4895732,10.16487542,30,75,29.78,4.544098377
1211.306254,16.59058927,28,86,29.78,7.416644732
883.4524639,15.1406253,50,88,29.64,6.768453916
660.9665833,13.61506671,50,88,29.64,6.086469332
1104.830872,16.42288497,28,93,29.78,7.341674328
1120.345337,16.11097943,28,93,29.78,7.202240308
1434.581299,17.56658708,28,86,29.81,7.85295407
968.7335815,15.69074039,27,93,29.81,7.014376958
862.2871094,14.91255183,27,93,29.84,6.666496118
862.2871094,14.91255183,27,86,29.87,6.666496118
1548.322998,17.64843124,27,93,29.84,7.889541626
1548.322998,17.64843124,27,86,29.87,7.889541626
2316.349609,21.06197258,27,86,29.87,9.415528615
2707.36735,23.22347441,27,86,29.87,10.38180479
2638.623291,23.55998946,27,86,29.9,10.53224023
1512.079346,18.42404917,27,86,29.9,8.236273289
220.4030889,10.43577479,27,86,29.9,4.665201028
320.0234629,11.4439113,28,80,29.9,5.115877628
158.4121373,9.189820183,28,80,29.9,4.108210405
369.3167725,11.28929097,28,80,29.9,5.046756268
301.4405365,10.8014085,30,80,29.93,4.828653653
276.0234426,10.55999116,30,80,29.9,4.720730623
447.8178304,12.22940326,32,75,29.9,5.467023373
995.843526,15.54405989,34,65,29.9,6.948805014
733.5761922,13.75834778,34,65,29.9,6.150521596
561.2317708,13.02760372,34,65,29.87,5.823850314
207.8470052,9.933791489,36,60,29.87,4.440794786
307.4751434,11.19745258,36,56,29.84,5.005700906
680.8743693,14.1697606,36,60,29.84,6.334439278
347.4909363,11.56361536,37,56,29.84,5.169390043
6.563959756,7.457160171,39,52,29.81,3.333643357
0,5.092252193,37,56,29.81,2.276436647
0,6.636206871,39,52,29.78,2.966645002
74.61247,9.05681812,39,56,29.78,4.048753261
126.9744975,9.529842063,37,60,29.78,4.260213534
382.0186056,11.7983558,37,60,29.78,5.274328232
662.1725769,13.74142706,36,65,29.78,6.142957369
1253.555989,17.33410227,36,70,29.78,7.749024232
1692.134359,18.80860643,37,65,29.78,8.408185482
1553.505982,18.16904476,36,70,29.78,8.122276306
1580.593018,17.95238913,34,81,29.75,8.025422732
1866.738688,19.45992052,34,81,29.75,8.69934845
1803.699666,19.83623111,34,75,29.75,8.867574056
1894.640299,19.56180822,34,81,29.75,8.744896253
1900.579305,19.33731338,36,75,29.72,8.644538244
1133.241923,16.15879834,36,75,29.72,7.223617236
1142.316691,15.98537392,36,75,29.72,7.146089713
1078.832133,15.4029164,55,67,29.55,6.885708332
855.2749634,14.68774232,55,63,29.55,6.565997442
1040.46399,15.33428561,54,67,29.52,6.855027676
751.0559489,13.92074724,54,72,29.52,6.223120531
1324.243001,16.67430968,55,63,29.52,7.454071045
889.9172161,15.10060365,50,88,29.64,6.750562668
1013.28951,15.47069493,50,88,29.64,6.916007996
1987.014323,19.60495944,55,63,29.52,8.764186541
1486.68164,17.48430878,55,63,29.49,7.816172441
1181.457357,16.11380394,54,67,29.49,7.203502973
478.7066956,12.31327977,57,59,29.49,5.504519463
562.9313965,13.08849805,55,63,29.46,5.85107247
562.9313965,13.08849805,57,55,29.46,5.85107247
1669.70402,18.29745842,55,63,29.46,8.179682255
1669.70402,18.29745842,55,63,29.43,8.179682255
1512.298991,17.79205791,59,51,29.46,7.953748385
1781.239665,18.56659105,59,55,29.43,8.299995104
1685.090983,18.23039064,61,52,29.43,8.149700324
1844.364298,19.28668632,61,55,29.43,8.621905963
855.4762777,14.34460367,61,55,29.43,6.412600994
255.4929606,10.53655921,64,45,29.43,4.710255623
566.351773,12.89864345,68,40,29.43,5.766200009
1307.684332,16.90668567,70,35,29.4,7.557952236
1307.684332,16.90668567,72,35,29.4,7.557952236
1307.684332,16.90668567,73,27,29.37,7.557952236
1307.684332,16.90668567,75,27,29.37,7.557952236
1307.684332,16.90668567,75,25,29.37,7.557952236
